Epoch#,Cost,del_L[0],del_L[1],delL[2],Normal Error
1,-154.29788290341583,0.14173863772003087,0.5417959598593314,-0.686888480594812,0.8862553177930577
2,-153.61380417071234,0.12563884940798853,0.5644746920084012,-0.6666486401829327,0.8825175396876233
3,-151.85340454102192,0.18537820979612954,0.4305358510303323,-0.6135629532681658,0.7721306219240264
4,-150.7919234254345,0.16102948559592248,0.46359242442733306,-0.6105065183929779,0.7833049471425642
5,-149.87611286646865,0.17025568392888127,-0.43555944750856646,0.23063788669651533,0.5214334713114352
6,-148.27748189019547,0.13434929446995425,-0.38023091807191656,0.24290405923313932,0.4707734762859134
7,-146.78538926368162,0.1472872056251063,-0.3949396199756029,0.22703066054439905,0.47876272327171854
8,-145.0393822140214,0.1251324944142241,0.3654855972798708,-0.47175397411258635,0.609745582245881
9,-142.99882798650492,0.16883721694587456,-0.29531957277528387,0.13182527805943142,0.36482538264990677
10,-141.26753914825704,0.17862454768914665,-0.3372903689102371,0.1428712691527057,0.4075337060244968
11,-139.57574161560854,0.10760943721965041,0.21535542038287425,-0.2843555755602726,0.3725799798958987
12,-138.0689184798991,0.18051897628916247,-0.30030274957602177,0.10155491317057672,0.3648043894918062
13,-136.61701542789132,0.09783638715151977,0.16643316647212597,-0.25652881136405004,0.32105916684102453
14,-135.3137128585451,0.09476555242993698,0.12846496439308408,-0.19077961382858977,0.2487581517386985
15,-134.24912935169075,0.21539921387349814,-0.2647549163795878,0.05903502680488839,0.3463771376322886
16,-133.1902424271919,0.07777768566276447,0.0774937875865306,-0.09917144000482225,0.14795144478575456
17,-132.51510979294093,0.18263916864772678,-0.1679586388767047,0.034748760017980614,0.25054869111698685
18,-131.65210373787383,-0.8072207997327823,0.7694549124722183,0.043377633954562206,1.1160411735130376
19,-130.76768696319283,0.06376852698303283,0.11115646180121054,-0.17743935604327865,0.2188764699706279
20,-130.3826189844557,0.06391060166150173,0.05469307647922285,-0.07924777457611298,0.11556862634280847
21,-131.14319102711588,0.26503962662345226,-0.32620515546795104,0.037191568300369744,0.4219467026618529
22,-129.11752396375616,0.052176774436027,0.04193971702055051,-0.05537302315463899,0.08687650630404103
23,-128.68527423957863,0.1948876790720067,-0.14584695850877016,0.017541897887225884,0.24404970998101647
24,-128.62000671958586,0.20355891972682277,-0.23718722953177196,0.028032147370716277,0.31381494059321347
25,-127.71745716187085,0.04149906869000356,0.04092223261869677,-0.050538385859256296,0.07714227291113117
26,-127.4137207581629,-0.8024947926672067,0.7788817473354663,0.022721996620059772,1.1185575343811038
27,-126.93882049724722,0.22590539936556175,-0.2473272585157954,0.02058843505934329,0.3356008133566512
28,-127.23911183518443,0.13659261961365113,-0.10099914060742687,0.014755776056777177,0.17051716354489402
29,-126.27832007617727,-0.781890467453939,0.7472697074380872,0.020779568136163162,1.0817562152360711
