Epoch#,Cost,del_L[0],del_L[1],delL[2],Normal Error
1,-159.03976128269156,0.21939722621529795,-0.45817554963775886,0.31572109992420405,0.5981135260919772
2,-153.44569036511317,0.1682827115434837,-0.5418960902106169,0.3724733781524441,0.6787539031359408
3,-153.28170508633713,0.12948121580904332,-0.43697637052604765,0.3265841963976457,0.5606879443881434
4,-153.42492535839838,-0.867390954641931,0.5135960004625848,0.35698837063912436,1.0693870284688238
5,-153.6345735570304,-0.8613853782090874,0.5437805852236912,0.3306360712915809,1.0709819355608965
6,-153.77959635227575,0.1336819825946127,-0.4553881799167637,0.3303590333314642,0.5782614960223692
7,-153.68557523798302,-0.8706150418941409,0.5687423285111372,0.3113585028900407,1.0855332812652656
8,-153.23210458150774,0.17476444417965015,0.33242646599312087,-0.4824852916608714,0.6114262203333888
9,-152.38985729083,0.16801223695703604,0.27293989169236066,-0.41572526267394216,0.5249302718168033
10,-150.94717077559025,0.1374678843232302,-0.3430997198341732,0.21996643114199307,0.43011634216795147
11,-149.18147042540198,0.14938374329328363,-0.3263244024903523,0.17823874087245808,0.40071457069689687
12,-147.17433868247485,0.14828522704378927,-0.30047152161641033,0.1581068806200582,0.37049889279364173
13,-145.1132959545925,0.14046656008228012,0.17882782496579697,-0.3182354240259264,0.3911317304800362
14,-143.09142124722075,-0.8495623938511543,0.7231845271701592,0.12433542816380536,1.1225913860711327
15,-141.14263956960508,-0.8378372006624686,0.7367955868460806,0.10454509594859504,1.1206108105389143
16,-139.46836242581273,0.10449663452928687,0.1216280452296452,-0.20065088322703695,0.2568534698113342
17,-137.94812709899514,0.17813173403752716,-0.2218949903594385,0.06081676606620764,0.2909759104334643
18,-136.68575464602657,0.17959668312071583,-0.2749065217652571,0.08094159292733687,0.33820127995418536
19,-135.4832349094339,0.18071927331971896,-0.2543046161049033,0.0655956805626766,0.31879944609417094
20,-134.4655259835954,0.18975802014414683,-0.25901290076106376,0.06241609464500104,0.32709564020393306
21,-133.61665558172982,-0.8162757763618791,0.7558348391234686,0.05523093997441699,1.1138415075038484
22,-132.9292951547289,0.20283859416901973,-0.2439223408935074,0.04306006812398549,0.3201496105546202
23,-132.2101583158339,0.06882376849903969,0.057340904736419625,-0.10942720787623117,0.14141783582698636
24,-131.56050351213364,0.1983865967248522,-0.21470186164734217,0.03288947630465395,0.294169761883335
25,-131.1165663194281,0.21210021251341407,-0.20366268905463691,0.024848258854774322,0.29509731789583415
26,-130.707765927934,0.20580683753659804,-0.23657002650691195,0.0318298487782362,0.315174508949474
27,-130.1929641585815,0.20646266353428078,-0.22371204716898596,0.02925852007571359,0.3058267033455862
28,-129.9097084247403,0.20307761747698086,-0.23852687085997293,0.029459533783422413,0.3146481383595234
29,-129.62293618642332,0.049070688943570244,0.04659150512408002,-0.09040397722650473,0.1129228938767254
30,-129.36460110990757,0.21050224947203652,-0.2344510587247951,0.02472565180467307,0.31605356164285
31,-129.21083487070666,0.19458655383772344,-0.22760013932841705,0.02474282198891364,0.30046290552534294
32,-128.87813694296048,0.04033953419676411,0.04808045458546452,-0.0857514596656812,0.10626533285673069
33,-128.63861354452217,0.20737175201603625,-0.2402026210750049,0.0231565437242057,0.3181769448322016
34,-128.4685490549154,0.20262406809875003,-0.23572309853423035,0.02190458570563794,0.3116114616479968
35,-128.31782554854757,0.20983501778824398,-0.16786012589762866,0.010596055476039475,0.2689238422829253
36,-128.1566888886799,0.0376592267674669,0.0410606712112488,-0.07837953050213009,0.09616416631352924
37,-128.0886849914451,0.22564544712213966,-0.18707374364431728,0.01054894091960203,0.2932980285010032
38,-127.8056755904736,0.036537379781370095,0.053485410485712134,-0.11932251356054646,0.13577014214664426
39,-127.67203419624012,-0.7991552531596497,0.7725868460784736,0.017292033898055805,1.1116827640214983
40,-127.48261718362724,0.21205854725342557,-0.2470519873687992,0.017971998272885648,0.3260774519159938
41,-127.34690517222603,0.033714357544002795,0.043514479521286994,-0.07904392974407437,0.09632294981986135
42,-127.2422151795379,0.015369461185833716,0.014460075971461366,-0.04040947643227677,0.045587716764211986
43,-127.1241542754703,0.03234776390628791,0.04109832141974352,-0.07375363498985377,0.09041597495727219
44,-127.01737970981249,0.21121444128265612,-0.259001858663652,0.01742412839768365,0.3346596827345504
45,-126.82077201087968,0.22046359614400612,-0.23461088721149193,0.013620452354394057,0.322229704318595
46,-126.7331401199336,0.20823707977842995,-0.24865376017867824,0.016087051122953014,0.32473091485024386
47,-126.64531431505763,-0.7875811105025974,0.7316213731286062,0.018155747618754273,1.0751202120743
48,-126.50321446764198,0.032080722898374166,-0.9558802881391179,0.9208380106490277,1.3276591956864021
49,-126.43644016031875,0.2212020200409619,-0.21994791413711035,0.010682979793457975,0.31212424555092677
50,-126.21807187142586,0.016386821686690846,0.018625192528672407,-0.028101289193136814,0.03748477258885031
51,-126.20839900372142,0.029802618849850228,0.04130360185956841,-0.07410562107812213,0.08992122492636213
52,-126.0102583088537,0.21447045728423655,-0.1633991761424317,0.005330385659034184,0.26967625187066246
53,-125.81121880615264,-0.7879282904205642,0.7385708499996784,0.01578042599500669,1.0800772718462806
54,-125.70274957559447,0.22451547122585302,-0.2361002454661424,0.011783675158888814,0.32602051734390847
55,-125.55943989960181,0.014144111013961073,0.017817904523221413,-0.024579003214082573,0.03349120775624209
56,-125.38082802969151,-0.7908329670559284,0.7597072975873997,0.013383474716841405,1.0967000853403492
57,-125.22640491575599,0.2048460284633627,-0.20359858755069105,0.00938045639430503,0.2889675988619047
58,-125.01638041098288,0.21254363494381298,-0.2278617542513245,0.0117947746080832,0.311825099236215
59,-124.91339632857643,0.026899642039803332,0.0521126824168212,-0.08178631210115539,0.10063957103273849
60,-124.7495310789786,0.02508374225398768,0.04431679412050927,-0.0669598704151545,0.08412369828174683
61,-124.5453763512489,0.02738810482456934,0.04677352675835056,-0.07286163717396499,0.09081128378657716
62,-124.24044953026525,0.2184244901928237,-0.20679094739227566,0.008943377373659444,0.3009181580400849
63,-124.12886426183927,0.20152670899571534,-0.1398397003487536,0.0037776214422263737,0.24532106851233487
64,-123.97125457288948,0.031182264688093715,0.0496354131723656,-0.08401787950565598,0.10244516556918003
65,-123.62276798530415,0.21452645931814587,-0.15390463864867465,0.004318377213038213,0.2640584933815106
66,-123.3629268323208,0.21348840213040157,-0.24643821765794727,0.013537876750868818,0.32633168260764933
67,-123.12840488319434,0.027288881777076952,0.04425671533922654,-0.06472055295011891,0.08301861174116174
68,-122.83628481242462,-0.7771746605567129,0.7292416271243845,0.015836674567406114,1.0658539318329765
69,-122.59550368094108,0.1899628576689492,-0.1236285850325981,0.003075700405415815,0.22667018829987248
70,-122.30699608312896,0.025245332875677654,0.04317250495497369,-0.0632154902537907,0.08060639071511704
71,-122.00190941726652,0.036517369099205006,-0.7164783417194562,0.20539097733505549,0.7462306519901462
72,-121.75199322668325,0.19333630240351948,-0.13607004662055822,0.0037009766248570115,0.2364480506207733
73,-121.5049700531242,0.01933388410369345,0.04044350986436766,-0.05159718417492065,0.06835017175885469
74,-121.10031231430102,0.21856287914011577,-0.2393617025814847,0.011472009788520967,0.32433834773167347
75,-120.92841419797344,0.20331451858417082,-0.19104762172265854,0.00807456609560741,0.2791078391063739
76,-120.62996683591018,0.025344172584335675,0.050373675284753935,-0.07432299514310581,0.09329384681060457
77,-120.07280659523238,0.003921193772668189,0.013940489076227953,-0.021776212129934414,0.026151795560059456
78,-119.74991488482273,0.24551538787656996,-0.3318229251438216,0.022632699753055527,0.4133962970725509
79,-119.40458023062627,0.2266342879732254,-0.2516179324446006,0.012290317608919682,0.3388594639666341
80,-119.03938268024231,0.18850531559804629,-0.0644225992084747,8.788004644295106E-4,0.1992116903892718
81,-118.72039113750358,-0.7739149852380073,0.735338148912413,0.014602837084750759,1.0676515538661493
82,-118.4004863079933,0.028535824799052326,0.053481107784896016,-0.08734808902984348,0.10632126242679465
83,-117.91427276782834,0.2307888838495418,-0.2615972054826643,0.012213114062670104,0.3490641301823554
