Record#,tag,light status,distance,top_red,top_green,top_blue,top_distance,mid_red,mid_green,mid_blue,mid_distance,bottom_red,bottom_green,bottom_blue,bottom_distance
43,One Ring,On,532.0 mm,0.0064,0.0114,0.0092,95.4463,0.0025,0.0030,0.0014,103.8545,0.0096,0.0153,0.0087,108.7451
44,One Ring,On,222.0 mm,0.0064,0.0114,0.0092,98.0695,0.0204,0.0185,0.0048,80.7892,0.0490,0.0522,0.0176,29.0590
45,One Ring,On,282.0 mm,0.0066,0.0119,0.0094,94.1946,0.0101,0.0092,0.0027,88.4637,0.0270,0.0316,0.0124,43.8057
46,One Ring,On,234.0 mm,0.0066,0.0117,0.0092,96.7373,0.0023,0.0025,0.0009,94.1946,0.8309,0.7924,0.1955,6.3576
47,One Ring,On,244.0 mm,0.0071,0.0119,0.0094,92.9802,0.0018,0.0021,0.0009,94.1946,1.0000,1.0000,0.4012,6.3576
48,One Ring,On,225.0 mm,0.0066,0.0119,0.0094,98.0695,0.0176,0.0165,0.0041,79.1034,0.0339,0.0385,0.0144,39.3709
49,One Ring,On,221.0 mm,0.0071,0.0119,0.0094,102.3350,0.0156,0.0142,0.0030,87.4124,0.2300,0.2227,0.0577,9.0706
50,One Ring,On,232.0 mm,0.0073,0.0121,0.0094,96.7373,0.0053,0.0055,0.0021,92.9802,0.0126,0.0181,0.0094,89.5447
51,One Ring,On,231.0 mm,0.0071,0.0121,0.0094,89.5447,0.0016,0.0023,0.0014,120.3444,0.0085,0.0144,0.0087,124.8843
52,One Ring,On,319.0 mm,0.0066,0.0117,0.0094,98.0695,0.0014,0.0018,0.0014,112.3153,0.0078,0.0140,0.0087,124.8843
53,One Ring,On,8190.0 mm,0.0066,0.0117,0.0094,95.4463,0.0014,0.0021,0.0014,118.2142,0.0080,0.0140,0.0087,120.3444
54,One Ring,On,513.0 mm,0.0066,0.0117,0.0094,99.4450,0.0014,0.0021,0.0014,116.1694,0.0085,0.0144,0.0087,116.1694
55,One Ring,On,283.0 mm,0.0071,0.0119,0.0094,96.7373,0.0050,0.0053,0.0021,96.7373,0.0124,0.0179,0.0094,91.8015
56,One Ring,On,255.0 mm,0.0073,0.0121,0.0094,89.5447,0.0030,0.0034,0.0016,102.3350,0.0096,0.0156,0.0092,110.4968
57,One Ring,On,233.0 mm,0.0071,0.0121,0.0094,95.4463,0.0016,0.0023,0.0014,114.2047,0.0085,0.0144,0.0087,120.3444
58,One Ring,On,275.0 mm,0.0066,0.0119,0.0094,96.7373,0.0014,0.0018,0.0014,112.3153,0.0080,0.0140,0.0087,127.3072
59,One Ring,On,312.0 mm,0.0064,0.0117,0.0094,94.1946,0.0014,0.0018,0.0014,118.2142,0.0078,0.0137,0.0087,127.3072
